id,section,domain,paragraph,prompt,choice_A,choice_B,choice_C,choice_D,correct_answer_letter,correct_answer_text,explanation,choice_E,choices
281a4f3b,math,Advanced Math,null,"A certain college had 3,000 students enrolled in 2015. The college predicts that after 2015, the number of students enrolled each year will be 2% less than the number of students enrolled the year before. Which of the following functions models the relationship between the number of students enrolled, *f(x)*, and the number of years after 2015, *x*?","f(x) = 3,000(0.02)^x","f(x) = 0.98(3,000)^x","f(x) = 3,000(0.002)^x","f(x) = 3,000(0.98)^x",D,"f(x) = 3,000(0.98)^x","Because the change in the number of students decreases by the same percentage each year, the relationship between the number of students and the number of years can be modeled with a decreasing, exponential function in the form *f(x) = a(1 - r)^x*, where *f(x)* is the number of students, *a* is the number of students in 2015, *r* is the rate of decrease each year, and *x* is the number of years since 2015. It’s given that 3,000 students were enrolled in 2015 and that the rate of decrease is predicted to be 2%, or 0.02. Substituting these values into the decreasing exponential function yields f(x) = 3,000(1 - 0.02)^x, which is equivalent to f(x) = 3,000(0.98)^x.",,"{'A': 'f(x) = 3,000(0.02)^x', 'B': 'f(x) = 0.98(3,000)^x', 'C': 'f(x) = 3,000(0.002)^x', 'D': 'f(x) = 3,000(0.98)^x'}"
b81173a5,math,Advanced Math,null,The graph of the function \(f(x)= x^2 + 2x + 3\) intersects the x-axis at two points. What is the sum of the x-coordinates of these two points? ,-2,0,2,4,A,-2,"The sum of the roots of a quadratic equation in the form of \(ax^2 + bx + c = 0\) is equal to \(-b/a\).  In this case, a = 1 and b = 2, so the sum of the roots is \(-2/1 = -2\). ",,"{'A': '-2', 'B': '0', 'C': '2', 'D': '4'}"
random_id_a8,math,Advanced Math,null,The function $f(x)$ is defined by $f(x) = \frac{x^2 - 1}{x - 1}$. For what value(s) of $x$ is $f(x)$ undefined?,1 only,-1 only,0 only,1 and -1,A,1 only,"A function is undefined when the denominator equals zero. In this case, the denominator is $x-1$, which is zero when $x=1$. Therefore, $f(x)$ is undefined when $x=1$.",,"{'A': '1 only', 'B': '-1 only', 'C': '0 only', 'D': '1 and -1'}"
9f6f8f8f,math,Problem-Solving and Data Analysis,null,"A survey of 100 people found that 60 people like apples, 50 people like bananas, and 20 people like both apples and bananas. How many people like only apples?",10,20,40,60,C,40,"We can use a Venn diagram to solve this problem. Let  represent the set of people who like apples, and  represent the set of people who like bananas. We know that . The problem states that 20 people like both apples and bananas, so . To find the number of people who like only apples, we subtract the number of people who like both apples and bananas from the number of people who like apples. So, the number of people who like only apples is .",,"{'A': '10', 'B': '20', 'C': '40', 'D': '60'}"
random_id_c4,math,Geometry and Trigonometry,null,"A rectangle has a length of 12 cm and a width of 5 cm. What is the area of the rectangle, in square cm?",17,34,60,144,C,60,The area of a rectangle is found by multiplying the length and width: 12 cm * 5 cm = 60 square cm.,,"{'A': '17', 'B': '34', 'C': '60', 'D': '144'}"
random_id_c4,math,Advanced Math,null,The function $f(x)$ is defined by $f(x) = \frac{1}{x^2 + 1}$. What is the value of $f(\sqrt{3})$?,$\frac{1}{4}$,$\frac{1}{2}$,1,4,A,$\frac{1}{4}$,"Substituting $\sqrt{3}$ for x in the given function, we get $f(\sqrt{3}) = \frac{1}{(\sqrt{3})^2 + 1}$. Simplifying, we get $f(\sqrt{3}) = \frac{1}{3 + 1} = \frac{1}{4}$.",,"{'A': '$\\frac{1}{4}$', 'B': '$\\frac{1}{2}$', 'C': '1', 'D': '4'}"
random_id_c9,math,Advanced Math,null,"A circle has a radius of 5 units.  The point (-3,1) lies on the circle.  What is the equation of the circle?",(x + 3)^2 + (y - 1)^2 = 25,(x + 3)^2 + (y - 1)^2 = 5,(x - 3)^2 + (y + 1)^2 = 25,(x - 3)^2 + (y + 1)^2 = 5,A,(x + 3)^2 + (y - 1)^2 = 25,"The standard form of the equation of a circle with center (h, k) and radius r is (x - h)^2 + (y - k)^2 = r^2. Since the center of the circle is (-3, 1) and the radius is 5, the equation of the circle is (x - (-3))^2 + (y - 1)^2 = 5^2, or (x + 3)^2 + (y - 1)^2 = 25.",,"{'A': '(x + 3)^2 + (y - 1)^2 = 25', 'B': '(x + 3)^2 + (y - 1)^2 = 5', 'C': '(x - 3)^2 + (y + 1)^2 = 25', 'D': '(x - 3)^2 + (y + 1)^2 = 5'}"
random_id_c1,math,Geometry and Trigonometry,null,"A circle has a radius of 5 units. A chord of the circle is 8 units long. What is the distance, in units, from the center of the circle to the chord?",1,3,4,5,B,3,"Draw a diagram of the circle with the chord and the radius to the midpoint of the chord. This creates a right triangle where the hypotenuse is the radius, one leg is half the length of the chord, and the other leg is the distance from the center to the chord.  Using the Pythagorean Theorem, we have 5² = 4² + d² where d is the distance from the center to the chord. Solving for d gives us d = 3.",,"{'A': '1', 'B': '3', 'C': '4', 'D': '5'}"
d45a749b,math,Geometry and Trigonometry,null,"In the figure above, quadrilateral ABCD is a rectangle.  The length of diagonal is $\sqrt{20}$ units.  What is the area of the rectangle? ",4,8,10,20,C,10,"The diagonal of a rectangle divides the rectangle into two congruent right triangles.  Since the diagonal is the hypotenuse of each of these right triangles, the Pythagorean Theorem gives us $a^2 + b^2 = (\sqrt{20})^2$, or $a^2 + b^2 = 20$, where $a$ and $b$ are the length and width of the rectangle, respectively.  Since ABCD is a rectangle, the area is $ab$. Since the area is a product of two sides, the area will be a factor of 20.  Of the choices, 10 is the only factor of 20, and the area of the rectangle is $ab = (2)(5) = 10$.",,"{'A': '4', 'B': '8', 'C': '10', 'D': '20'}"
random_id_c1,math,Algebra,null,The expression $(2x+1)(3x-5)$ is equivalent to which of the following? ,$6x^2-7x-5$,$6x^2+x-5$,$6x^2-x-5$,$6x^2+7x-5$,A,$6x^2-7x-5$,We can use the distributive property to multiply the binomials: $(2x+1)(3x-5) = 2x(3x-5) + 1(3x-5) = 6x^2 - 10x + 3x - 5 = 6x^2-7x-5$.,,"{'A': '$6x^2-7x-5$', 'B': '$6x^2+x-5$', 'C': '$6x^2-x-5$', 'D': '$6x^2+7x-5$'}"
